"ModelName","ICGID","ModelNumber","ModelPageUrl","DiscussionUrl","ParsingMethod"
"Carina","CX-00LR","802","https://www.thenude.eu/Carina_802.htm","https://www.thenude.com/forum/discussion/513/carina-icgid-cx-00lr-802","forumListing"
"Jasmin","JX-004E","801","https://www.thenude.eu/Jasmin_801.htm","https://www.thenude.com/forum/discussion/512/jasmin-icgid-jx-004e-801","forumListing"
"Barbara","BX-00Q8","799","https://www.thenude.eu/Barbara_799.htm","https://www.thenude.com/forum/discussion/511/barbara-icgid-bx-00q8-799","forumListing"
"Annette","AX-81FZ","798","https://www.thenude.eu/Annette_798.htm","https://www.thenude.com/forum/discussion/510/annette-icgid-ax-81fz-798","forumListing"
"Zhanna","ZX-86XG","797","https://www.thenude.eu/Zhanna_797.htm","https://www.thenude.com/forum/discussion/509/zhanna-icgid-zx-86xg-797","forumListing"
"Maria","MX-004W","788","https://www.thenude.eu/Maria_788.htm","https://www.thenude.com/forum/discussion/506/maria-icgid-mx-004w-788","forumListing"
"Monica Temptem","MX-00GU","779","https://www.thenude.eu/Monica_Temptem_779.htm","https://www.thenude.com/forum/discussion/503/monica-temptem-icgid-mx-00gu-779","forumListing"
"Danka","DX-00DN","778","https://www.thenude.eu/Danka_778.htm","https://www.thenude.com/forum/discussion/502/danka-icgid-dx-00dn-778","forumListing"
"Nali Marie","NM-0063X","58573","https://www.thenude.eu/Nali_Marie_58573.htm","https://www.thenude.com/forum/discussion/52016/nali-marie-icgid-nm-0063x-58573","forumListing"
"Jazz The Stallion","JT-006EE","58574","https://www.thenude.eu/Jazz_The_Stallion_58574.htm","https://www.thenude.com/forum/discussion/52017/jazz-the-stallion-icgid-jt-006ee-58574","forumListing"
"Madison Lanez","ML-00VAT","58575","https://www.thenude.eu/Madison_Lanez_58575.htm","https://www.thenude.com/forum/discussion/52018/madison-lanez-icgid-ml-00vat-58575","forumListing"
"Ciankis","CX-000Z5","58576","https://www.thenude.eu/Ciankis_58576.htm","https://www.thenude.com/forum/discussion/52019/ciankis-icgid-cx-000z5-58576","forumListing"
"Kiki King","KK-00J5K","58579","https://www.thenude.eu/Kiki_King_58579.htm","https://www.thenude.com/forum/discussion/52022/kiki-king-icgid-kk-00j5k-58579","forumListing"
"Onyx Reign","OR-98RA5","58580","https://www.thenude.eu/Onyx_Reign_58580.htm","https://www.thenude.com/forum/discussion/52023/onyx-reign-icgid-or-98ra5-58580","forumListing"
"Kitty Cashew","KC-00NLW","58581","https://www.thenude.eu/Kitty_Cashew_58581.htm","https://www.thenude.com/forum/discussion/52024/kitty-cashew-icgid-kc-00nlw-58581","forumListing"
"Amber Bloom","AB-00MCB","58582","https://www.thenude.eu/Amber_Bloom_58582.htm","https://www.thenude.com/forum/discussion/52025/amber-bloom-icgid-ab-00mcb-58582","forumListing"
"Maisie","MX-00CSJ","58583","https://www.thenude.eu/Maisie_58583.htm","https://www.thenude.com/forum/discussion/52026/maisie-icgid-mx-00csj-58583","forumListing"
"Mia Shanti","MS-00RAA","58584","https://www.thenude.eu/Mia_Shanti_58584.htm","https://www.thenude.com/forum/discussion/52027/mia-shanti-icgid-ms-00raa-58584","forumListing"
"Loe Roe","LR-00K6G","58585","https://www.thenude.eu/Loe_Roe_58585.htm","https://www.thenude.com/forum/discussion/52028/loe-roe-icgid-lr-00k6g-58585","forumListing"
"Scarlette Moon","SM-008UT","58586","https://www.thenude.eu/Scarlette_Moon_58586.htm","https://www.thenude.com/forum/discussion/52029/scarlette-moon-icgid-sm-008ut-58586","forumListing"
"Rei Sky","RS-007T5","58587","https://www.thenude.eu/Rei_Sky_58587.htm","https://www.thenude.com/forum/discussion/52030/rei-sky-icgid-rs-007t5-58587","forumListing"
"Kora","KX-008JK","58589","https://www.thenude.eu/Kora_58589.htm","https://www.thenude.com/forum/discussion/52032/kora-icgid-kx-008jk-58589","forumListing"
"Selene Love","SL-00RX8","58590","https://www.thenude.eu/Selene_Love_58590.htm","https://www.thenude.com/forum/discussion/52033/selene-love-icgid-sl-00rx8-58590","forumListing"
